Wall time,Step,Value
1741582967.5197997,9,1.5684551000595093
1741582973.029723,29,6.192000389099121
1741582976.040829,39,16.22001075744629
1741582979.721188,49,15.627711296081543
1741582993.791744,99,18.507726669311523
1741582996.3623312,109,19.311458587646484
1741582999.3115013,119,21.784704208374023
1741583008.4592447,149,22.19045639038086
1741583010.2744508,159,25.51553726196289
1741583013.9855,169,27.015836715698242
1741583019.518909,189,25.631832122802734
1741583022.5011005,199,25.591819763183594
1741583026.1956067,209,24.428035736083984
1741583031.6598666,229,22.09026527404785
1741583033.4535847,239,20.95475196838379
1741583042.886499,269,20.572153091430664
1741583045.889584,279,18.820064544677734
1741583049.5731976,289,19.552593231201172
1741583051.4158156,299,18.785097122192383
1741583055.0770314,309,18.483556747436523
1741583063.5531979,339,18.62918472290039
1741583066.1026864,349,17.241010665893555
1741583072.6886659,369,16.90023422241211
1741583074.4877238,379,17.06503677368164
1741583078.1762166,389,16.386512756347656
1741583079.9582622,399,16.217533111572266
1741583083.60532,409,16.494653701782227
1741583102.9917367,479,15.284697532653809
1741583106.7842863,489,14.67718505859375
1741583109.7240207,499,14.095478057861328
1741583112.2669218,509,14.324646949768066
1741583115.1956296,519,15.06977367401123
1741583118.9688156,529,13.805451393127441
1741583124.55641,549,12.838462829589844
1741583126.3767233,559,12.77982234954834
1741583133.086261,579,12.84663200378418
1741583142.3587635,609,11.065695762634277
1741583144.1967337,619,11.310629844665527
1741583147.930016,629,11.238832473754883
1741583149.7709022,639,11.22705364227295
1741583156.460946,659,11.189215660095215
1741583158.9616024,669,10.96805477142334
1741583161.907907,679,10.177530288696289
1741583165.6094491,689,10.141081809997559
1741583171.2066724,709,10.110011100769043
1741583173.010466,719,9.880496978759766
1741583179.713373,739,9.64585018157959
1741583185.3029528,759,9.000200271606445
1741583190.8699496,779,9.087135314941406
1741583194.6195018,789,9.346100807189941
1741583196.417993,799,9.373274803161621
1741583200.1481767,809,8.658831596374512
1741583205.6364963,829,8.712557792663574
1741583208.5582643,839,8.309803009033203
1741583214.1329954,859,8.043344497680664
1741583217.922456,869,11.40168571472168
1741583226.451885,899,20.663692474365234
1741583228.9934888,909,17.11919593811035
1741583242.7531574,959,13.514378547668457
1741583254.7900574,999,11.690716743469238
1741583258.407935,1009,11.165823936462402
1741583265.6356144,1039,10.098450660705566
1741583269.3399265,1049,10.866194725036621
1741583274.8074338,1069,9.942817687988281
1741583277.705783,1079,9.529200553894043
1741583283.2187848,1099,9.20094108581543
1741583286.8363953,1109,8.919403076171875
1741583288.6275747,1119,8.511088371276855
1741583292.2778575,1129,8.440975189208984
1741583297.7720068,1149,8.397004127502441
1741583300.7227652,1159,8.552655220031738
1741583304.4133844,1169,7.750316619873047
1741583318.332355,1219,8.334846496582031
1741583329.356434,1259,7.5965657234191895
1741583332.9886131,1269,7.5288310050964355
1741583338.5041754,1289,7.549872398376465
1741583341.4900007,1299,7.253908157348633
1741583344.0338569,1309,7.281549453735352
1741583347.0488412,1319,8.066051483154297
1741583350.7594779,1329,7.126434803009033
1741583356.2977786,1349,7.045971870422363
1741583361.8405926,1369,6.971170902252197
1741583364.7772825,1379,6.934305667877197
1741583367.2962894,1389,6.932674884796143
1741583381.373649,1439,7.452243804931641
1741583385.141495,1449,7.033261775970459
1741583390.6296852,1469,6.594017028808594
1741583393.6131582,1479,7.084190368652344
1741583402.8159254,1509,6.532768726348877
1741583413.8321035,1549,7.057964324951172
1741583420.5145252,1569,6.389344692230225
1741583422.3355176,1579,6.398769855499268
1741583427.807897,1599,5.897129535675049
1741583431.4920745,1609,6.392608642578125
1741583437.0579708,1629,6.14658260345459
1741583440.071161,1639,6.1845173835754395
1741583443.72025,1649,5.741179466247559
1741583449.264794,1669,6.683810234069824
1741583454.8585446,1689,6.126626014709473
1741583460.390086,1709,6.0625901222229
1741583463.367731,1719,6.4356889724731445
1741583467.0271904,1729,5.842817306518555
1741583472.537785,1749,6.311666488647461
1741583474.3399022,1759,5.8064799308776855
1741583478.0653648,1769,5.719850063323975
1741583480.9951541,1779,5.996906280517578
1741583483.5312612,1789,6.1229023933410645
1741583490.2271185,1809,5.512673854827881
1741583492.0694017,1819,5.707520008087158
1741583495.7048433,1829,5.7280802726745605
1741583497.4963744,1839,5.5268096923828125
1741583501.2497692,1849,6.062860012054443
1741583504.1785116,1859,5.958251953125
1741583506.714904,1869,5.59077787399292
1741583515.1433017,1899,5.907362461090088
1741583518.7903323,1909,5.832486629486084
1741583520.5827148,1919,5.823821067810059
1741583524.2681553,1929,5.313956260681152
1741583532.9142132,1959,5.2380452156066895
1741583542.117622,1989,5.470376014709473
1741583543.930589,1999,5.710187911987305
1741583547.628829,2009,5.541543483734131
1741583553.394895,2029,5.7651190757751465
1741583556.341446,2039,5.401671409606934
1741583560.162245,2049,5.6800923347473145
1741583562.0006566,2059,5.375306606292725
1741583567.7786288,2079,5.76740837097168
1741583574.65473,2099,5.621021270751953
1741583580.4141982,2119,5.0701069831848145
1741583586.0406168,2139,5.101091384887695
1741583591.8120408,2159,4.867443084716797
1741583595.599726,2169,5.352109432220459
1741583601.4041662,2189,5.059133052825928
1741583604.3885176,2199,4.773700714111328
1741583608.2779737,2209,5.886162281036377
1741583610.2687328,2219,5.171864032745361
1741583614.160213,2229,5.499852657318115
1741583619.6679533,2249,5.3760905265808105
1741583622.6790926,2259,4.717963218688965
1741583625.3207066,2269,5.223499774932861
1741583634.0623949,2299,5.278573036193848
1741583643.4625838,2329,4.868316650390625
1741583649.0726175,2349,4.8250813484191895
1741583652.0013719,2359,5.079778671264648
1741583655.8247552,2369,4.834178447723389
1741583657.6471066,2379,4.475398540496826
1741583661.3422935,2389,5.094966411590576
1741583663.2557194,2399,4.941120624542236
1741583670.0736055,2419,4.589184284210205
1741583672.7253814,2429,4.861842155456543
1741583679.4343812,2449,4.814976692199707
1741583681.3559086,2459,4.661262512207031
1741583685.0151558,2469,4.705435752868652
1741583686.9248507,2479,4.923318386077881
1741583693.713397,2499,4.617703437805176
1741583703.1491883,2529,4.5322136878967285
1741583705.121585,2539,4.71247673034668
1741583708.959656,2549,4.713998794555664
1741583717.4231906,2579,4.407372951507568
1741583720.0730994,2589,4.561661243438721
1741583723.0396755,2599,4.62005615234375
1741583726.8466291,2609,4.437633514404297
1741583732.4556751,2629,4.57445764541626
1741583734.3688047,2639,4.631000518798828
1741583750.4457936,2689,4.2874369621276855
1741583756.0816457,2709,3.8298137187957764
1741583757.9834273,2719,4.416406631469727
1741583767.37228,2749,4.202246189117432
1741583770.3499098,2759,4.280558109283447
1741583774.2032244,2769,4.2194929122924805
1741583780.0015697,2789,4.258255481719971
1741583785.7002873,2809,4.246455669403076
1741583791.5010896,2829,4.279016971588135
1741583794.586602,2839,4.123936653137207
1741583798.2959402,2849,4.143130302429199
1741583800.2764127,2859,4.065030574798584
1741583805.9206991,2879,4.434950351715088
1741583809.772021,2889,4.359615325927734
1741583815.4154704,2909,4.118399143218994
1741583818.5150976,2919,4.555709362030029
1741583829.8751805,2959,3.818570613861084
1741583833.6852598,2969,4.1339497566223145
1741583836.6249661,2979,4.192802906036377
1741583839.2990594,2989,4.244306564331055
1741583842.4259608,2999,4.14725399017334
1741583857.9010293,3049,3.9656052589416504
1741583861.1150098,3059,4.021799087524414
1741583863.6870997,3069,3.7865185737609863
1741583866.9244113,3079,4.179355144500732
1741583870.8089888,3089,3.9768640995025635
1741583872.8092086,3099,3.9650866985321045
1741583882.4742415,3129,3.9557723999023438
1741583885.525893,3139,3.7410433292388916
1741583888.2563038,3149,3.8514907360076904
1741583891.370091,3159,4.0410637855529785
1741583895.0692055,3169,3.8967747688293457
1741583900.932415,3189,3.90141224861145
1741583902.7625556,3199,3.873363971710205
1741583912.5531414,3229,3.7470357418060303
1741583919.673567,3249,3.711625576019287
1741583934.505498,3299,3.5979604721069336
1741583937.0605683,3309,3.7161660194396973
1741583940.2130518,3319,3.714202642440796
1741583944.1487947,3329,3.3969388008117676
1741583946.0346644,3339,3.754697561264038
1741583959.4904745,3379,3.808807373046875
1741583962.1126797,3389,3.5318615436553955
1741583969.5529075,3409,3.491624116897583
1741583977.3687112,3439,3.449680805206299
1741583981.4406927,3449,3.422426462173462
1741583984.7736704,3459,3.739065647125244
1741583987.4021301,3469,3.2625911235809326
1741583994.8014123,3489,3.5233914852142334
1741583996.688333,3499,3.5384204387664795
1741584000.7033176,3509,3.448643922805786
1741584006.5564945,3529,3.5746045112609863
1741584009.7936642,3539,3.5120840072631836
1741584012.4001029,3549,3.3265600204467773
1741584015.649204,3559,3.756962299346924
1741584021.6022809,3579,14.939640998840332
1741584025.5845988,3589,10.2370023727417
1741584031.4525676,3609,14.404402732849121
1741584034.6999042,3619,19.939472198486328
1741584037.291231,3629,20.566131591796875
1741584040.4715853,3639,22.643186569213867
1741584044.4582968,3649,23.13983917236328
1741584046.3091211,3659,22.80562973022461
1741584050.3600209,3669,24.009618759155273
1741584052.2847078,3679,23.80625343322754
1741584056.4501905,3689,25.26032257080078
1741584059.7503133,3699,25.286823272705078
1741584075.275702,3749,21.276290893554688
1741584077.106533,3759,20.742965698242188
1741584084.2899442,3779,20.016090393066406
1741584086.918348,3789,19.37002182006836
1741584100.1922567,3829,18.61360740661621
1741584105.9841936,3849,17.669309616088867
1741584109.1880836,3859,17.714319229125977
1741584111.7809606,3869,17.06281280517578
1741584120.7998016,3899,16.493724822998047
1741584124.7211783,3909,16.808977127075195
1741584126.5656798,3919,16.525903701782227
1741584130.528809,3929,16.269428253173828
1741584133.7107863,3939,15.615031242370605
1741584136.2740376,3949,15.454609870910645
1741584139.5700035,3959,15.400232315063477
1741584143.6013405,3969,14.891063690185547
1741584145.4947536,3979,14.76449966430664
1741584149.5411797,3989,15.0221529006958
1741584151.4454308,3999,14.422296524047852
1741584155.4459548,4009,14.76805305480957
1741584158.5961514,4019,14.477741241455078
1741584161.1366727,4029,13.750155448913574
1741584168.2175553,4049,13.69388198852539
1741584173.9618137,4069,13.601542472839355
1741584175.7706025,4079,13.376462936401367
1741584179.8152533,4089,12.869170188903809
1741584183.0407062,4099,13.209362983703613
1741584193.0087388,4129,12.79899787902832
1741584194.8509376,4139,12.434438705444336
1741584198.767563,4149,12.879427909851074
1741584200.5719216,4159,12.366034507751465
1741584210.3478134,4189,12.28636646270752
1741584213.6731842,4199,12.127903938293457
1741584219.555854,4219,11.982279777526855
1741584223.4424973,4229,11.78858470916748
1741584232.3933926,4259,11.780413627624512
