Wall time,Step,Value
1741702274.2962813,39,10.044388771057129
1741702274.983448,49,7.493063449859619
1741702279.2139337,109,2.599933385848999
1741702281.9547722,149,2.295048952102661
1741702284.7076552,159,1.9811270236968994
1741702286.7662933,189,1.7223126888275146
1741702287.4547,199,1.7440882921218872
1741702288.1509163,209,1.6296218633651733
1741702289.5153396,229,1.5276832580566406
1741702290.1967552,239,1.466681718826294
1741702292.242377,269,1.3841772079467773
1741702292.9224083,279,1.3479644060134888
1741702303.819559,409,1.0895203351974487
1741702310.6313314,479,1.0819385051727295
1741702311.3152666,489,1.03668212890625
1741702311.9962745,499,1.022607445716858
1741702313.3589447,519,0.9971669316291809
1741702315.4024756,549,1.0914876461029053
1741702317.4445424,579,0.9204584956169128
1741702319.5021977,609,1.845328450202942
1741702320.1803834,619,1.0499070882797241
1741702323.0155005,629,0.9401683211326599
1741702323.696108,639,0.9186645746231079
1741702325.0588124,659,0.8808704614639282
1741702325.738437,669,0.903887152671814
1741702326.4203732,679,0.9723614454269409
1741702327.103672,689,0.9639723896980286
1741702328.4652202,709,0.9179890751838684
1741702329.14857,719,0.8624840974807739
1741702333.2245224,779,0.903744637966156
1741702336.6582072,799,0.8396390080451965
1741702338.703145,829,0.9788307547569275
1741702343.4870532,899,0.7488869428634644
1741702352.3509266,999,0.8076613545417786
1741702355.0783257,1039,0.8108858466148376
1741702357.122882,1069,0.8479781150817871
1741702357.800859,1079,0.7173593044281006
1741702361.24945,1099,0.8439371585845947
1741702366.03446,1169,0.6858112215995789
1741702369.436128,1219,0.7067688703536987
1741702374.237098,1259,0.7564731240272522
1741702374.9198437,1269,1.1916559934616089
1741702376.2809854,1289,0.6876705884933472
1741702377.6462097,1309,0.724078357219696
1741702381.738678,1369,0.6878927946090698
1741702382.4324987,1379,0.6471334099769592
1741702389.3265991,1449,0.7156609892845154
1741702390.6900594,1469,0.8564124703407288
1741702391.3727245,1479,0.6663105487823486
1741702393.4169586,1509,0.7433856129646301
1741702400.2537847,1579,0.6066195368766785
1741702402.2984564,1609,0.633063554763794
1741702403.6594632,1629,0.6520668864250183
1741702405.0202372,1649,0.7441376447677612
1741702409.0946667,1709,0.7795184254646301
1741702409.7734144,1719,0.7510597705841064
1741702412.5606732,1729,0.6812758445739746
1741702415.9727075,1779,0.6044451594352722
1741702420.7392364,1849,0.5827035903930664
1741702421.4160423,1859,0.8717113137245178
1741702422.0925272,1869,0.7596779465675354
1741702426.8842397,1909,0.6135566830635071
1741702427.5675902,1919,0.5694115161895752
1741702428.2482803,1929,0.6213243007659912
1741702433.0216823,1999,0.5581559538841248
1741702435.0599039,2029,0.7211193442344666
1741702435.7384238,2039,0.6588847637176514
1741702438.594385,2049,0.6422325372695923
1741702439.2757776,2059,0.6602017879486084
1741702440.6395478,2079,0.565399169921875
1741702443.366379,2119,0.6575246453285217
1741702444.7370281,2139,0.598340630531311
1741702446.0968928,2159,0.7651690244674683
1741702450.9759135,2199,0.5910258889198303
1741702451.6747062,2209,0.5578667521476746
1741702452.3714137,2219,0.7615413069725037
1741702454.4170887,2249,0.6236183643341064
1741702457.825947,2299,0.6375861763954163
1741702466.7263157,2399,0.555614173412323
1741702470.135151,2449,0.5109840035438538
1741702470.8184257,2459,0.5045204162597656
1741702471.5002515,2469,0.5221123695373535
1741702481.6261444,2589,0.5335677862167358
1741702482.3066928,2599,0.500566303730011
1741702482.9851475,2609,0.618410050868988
1741702492.610095,2719,0.6974908113479614
1741702494.6700792,2749,0.5583641529083252
1741702496.033961,2769,0.5267621278762817
1741702497.3982704,2789,0.5527121424674988
1741702502.4248812,2829,0.6280772089958191
1741702504.470224,2859,0.5494503974914551
1741702506.516993,2889,0.7022110819816589
1741702507.879902,2909,0.540457546710968
1741702511.2842631,2959,0.5865460634231567
1741702512.6391737,2979,0.7297260165214539
1741702515.6545675,2989,0.5630709528923035
1741702521.1200476,3069,0.5307943820953369
1741702522.4800658,3089,0.8846379518508911
1741702525.1955862,3129,0.522513210773468
1741702529.9032755,3169,0.5152387619018555
1741702531.2631834,3189,0.5466973185539246
1741702531.946504,3199,0.5998297333717346
1741702533.9882462,3229,0.6312450766563416
1741702546.2560701,3379,0.7083458304405212
1741702546.940376,3389,0.5773976445198059
