Wall time,Step,Value
1741659145.0334568,189,1221.88818359375
1741659215.7749655,479,691.3892822265625
1741659252.6050954,629,479.7535400390625
1741659254.9919784,639,455.5355224609375
1741659274.1872604,719,434.2159118652344
1741659317.397835,899,482.262451171875
1741659352.3261602,1039,314.80145263671875
1741659361.981409,1079,444.84393310546875
1741659413.4981387,1289,532.6531982421875
1741659491.5803525,1609,322.45855712890625
1741659501.1741917,1649,359.6767883300781
1741659520.3600252,1729,438.6388854980469
1741659567.0733416,1919,220.9466552734375
1741659595.9887178,2039,308.4967956542969
1741659659.4065642,2299,357.14947509765625
1741659695.0013907,2449,257.29010009765625
1741659731.5205824,2599,338.0356140136719
1741659787.183399,2829,225.03712463378906
1741659794.2920203,2859,198.45013427734375
1741659868.9239767,3169,293.7063903808594
1741659876.076749,3199,234.31085205078125
1741659941.084817,3469,256.61444091796875
1741659969.6188662,3589,156.7064971923828
1741659988.6395323,3669,175.48184204101562
1741660037.0507233,3869,170.08677673339844
1741660075.061095,4029,209.76177978515625
1741660106.8530905,4159,150.47842407226562
1741660156.7342865,4369,144.35391235351562
1741660159.116544,4379,134.90774536132812
1741660181.5054176,4469,113.46063232421875
1741660217.1291175,4619,152.37319946289062
1741660226.6324196,4659,174.43209838867188
1741660251.3354044,4759,130.2701416015625
1741660265.5714543,4819,133.92172241210938
1741660335.4053328,5109,136.57752990722656
1741660391.0430057,5339,111.97924041748047
1741660402.9411902,5389,167.90484619140625
1741660407.690798,5409,172.17347717285156
1741660445.6157532,5569,118.55021667480469
1741660459.8751128,5629,102.41902160644531
1741660537.8500102,5949,92.75340270996094
1741660542.6114466,5969,132.7247314453125
1741660640.9553814,6379,110.9346694946289
1741660655.1940088,6439,110.83032989501953
1741660657.5541434,6449,131.8406219482422
1741660692.032439,6589,138.47702026367188
1741660713.41972,6679,99.01326751708984
1741660732.4140904,6759,98.81401062011719
1741660843.5951736,7219,84.90123748779297
1741660946.676345,7649,103.73381042480469
1741660972.782463,7759,86.57984924316406
1741660990.3987992,7829,81.7959976196289
1741661004.6625965,7889,81.11080932617188
1741661042.7939417,8049,69.41477966308594
1741661173.1799731,8579,62.70318603515625
1741661194.7381928,8669,65.88909912109375
1741661245.2600338,8869,70.87977600097656
1741661383.7949576,9429,82.78486633300781
1741661524.0107079,9999,60.61133575439453
1741661537.18644,10049,68.43046569824219
1741661563.946847,10159,44.13444519042969
1741661581.0354311,10229,76.04780578613281
1741661590.8282013,10269,66.71536254882812
1741661618.6106427,10379,55.850242614746094
1741661664.8696988,10569,69.19796752929688
1741661701.544302,10719,82.90798950195312
1741661715.8754122,10779,44.800941467285156
1741661768.1954517,10989,44.37005615234375
1741661794.9974985,11099,54.17501449584961
1741661799.850697,11119,68.9342269897461
1741661833.967805,11259,40.874168395996094
1741661852.0678349,11329,52.01509094238281
1741661898.3669865,11519,62.694149017333984
1741661900.8360386,11529,44.40166473388672
1741661930.9980984,11649,56.013397216796875
1741661955.3976626,11749,54.81193542480469
1741661960.2713423,11769,44.95908737182617
1741661979.7479537,11849,68.85375213623047
1741662062.0023823,12189,53.283287048339844
1741662079.5539773,12259,61.18585968017578
1741662144.4415114,12529,54.414459228515625
1741662149.1713493,12549,48.474517822265625
1741662156.276572,12579,31.600772857666016
1741662165.77208,12619,34.284942626953125
1741662180.5535948,12679,42.622352600097656
1741662190.1283655,12719,38.63728332519531
1741662255.643556,12989,36.40813446044922
1741662321.467269,13259,40.43402099609375
1741662370.002642,13459,48.50916290283203
1741662441.121611,13759,23.845373153686523
1741662443.4863608,13769,27.336544036865234
1741662542.2458074,14179,35.130767822265625
1741662595.2847965,14399,31.923585891723633
1741662637.9206161,14579,61.5635986328125
1741662640.2774274,14589,91.01878356933594
1741662727.656975,14949,31.663328170776367
1741662747.716099,15029,42.26726150512695
1741662767.1105242,15109,22.785999298095703
1741662774.342195,15139,25.079463958740234
1741662858.2196171,15489,25.428014755249023
1741662865.3076298,15519,33.27229309082031
1741662899.6551468,15659,52.590545654296875
1741662906.7609541,15689,91.05490112304688
1741662918.5709825,15739,28.406984329223633
1741662947.2377083,15859,40.66956329345703
1741662974.6038144,15969,29.684904098510742
1741663049.337971,16279,27.033201217651367
1741663068.9814582,16359,24.46334457397461
1741663153.5608954,16709,27.714134216308594
1741663189.3560698,16859,46.59765625
1741663231.0090125,17029,35.2226448059082
1741663235.7659721,17049,39.77558517456055
1741663242.9453013,17079,24.154203414916992
1741663252.5828424,17119,31.41280174255371
1741663407.5204437,17759,31.78746795654297
1741663412.2344942,17779,24.325523376464844
1741663441.743934,17899,43.17913818359375
