Wall time,Step,Value
1741585986.327365,9,905.8421630859375
1741585992.8131297,29,855.2384033203125
1741585996.3020613,39,825.92529296875
1741586000.6587718,49,751.1515502929688
1741586017.1270912,99,629.7362060546875
1741586020.132598,109,618.3703002929688
1741586023.6145957,119,566.135009765625
1741586034.3224704,149,416.10382080078125
1741586036.4746428,159,426.20050048828125
1741586040.8001287,169,341.28717041015625
1741586047.290693,189,295.613037109375
1741586050.7250206,199,296.40338134765625
1741586055.0529482,209,287.52490234375
1741586061.4506028,229,237.37069702148438
1741586063.5218585,239,209.3470001220703
1741586074.0841424,269,189.97012329101562
1741586077.4986796,279,205.35379028320312
1741586081.8756902,289,210.9579315185547
1741586083.916426,299,165.34681701660156
1741586088.3668902,309,164.8671875
1741586098.2286525,339,184.23838806152344
1741586101.207791,349,145.88430786132812
1741586109.1901984,369,134.97174072265625
1741586111.510006,379,134.47474670410156
1741586116.7494206,389,152.90643310546875
1741586118.9679408,399,135.143798828125
1741586124.054573,409,118.6333999633789
1741586146.8665235,479,117.58454895019531
1741586151.1073747,489,109.48289489746094
1741586154.727296,499,96.73255920410156
1741586157.8653524,509,107.3496322631836
1741586161.287482,519,106.85140991210938
1741586165.7778792,529,96.17444610595703
1741586172.1780946,549,103.46296691894531
1741586174.4333878,559,102.8446273803711
1741586182.2835836,579,94.00588989257812
1741586193.0980947,609,107.67182922363281
1741586195.1855974,619,96.05281066894531
1741586199.562167,629,89.76314544677734
1741586201.7376943,639,120.1337661743164
1741586209.7601593,659,82.69734191894531
1741586212.6472077,669,86.47825622558594
1741586216.0160844,679,137.73977661132812
1741586220.4512076,689,140.2693328857422
1741586226.7674077,709,182.83306884765625
1741586229.0261366,719,100.03173828125
1741586236.77638,739,102.29193878173828
1741586243.4355366,759,86.46375274658203
1741586250.2093291,779,79.3631362915039
1741586254.6948426,789,87.44194793701172
1741586256.9872684,799,75.88443756103516
1741586261.499367,809,80.5876693725586
1741586268.1803744,829,85.47974395751953
1741586271.6931152,839,75.9020767211914
1741586278.6585815,859,67.56422424316406
1741586283.1942585,869,75.50055694580078
